   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
5.00000e+14 2.28153e-01 2.29763e-01 1.23986e+01 6.99954e-02 3.98426e-01 1.71574e-03 7.14574e-03 8.97203e-02 0.00000e+00 0.00000e+00 2.87659e-02 5.93965e-02 -1.85198e-03 1.04864e-01 3.28611e-01 9.83423e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
1.5623e-02 6.0938e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 6.2500e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 6.4062e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 6.5625e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 6.7188e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 6.8750e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 7.0312e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 7.1875e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 7.3438e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 7.5000e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 7.6562e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 7.8125e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 7.9688e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 8.1250e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 8.2812e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 8.4375e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 8.5938e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 8.7500e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 8.9062e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 9.0625e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 9.2188e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 9.3750e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 9.5312e-01 -1.6446e-01 -2.1330e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 9.6875e-01 -1.6446e-01 -2.1329e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 9.8438e-01 -1.6446e-01 -2.1329e-03 8.1163e-02 7.3350e-03 1.0591e+34
1.5623e-02 1.0000e+00 -1.6446e-01 -2.1328e-03 8.1163e-02 7.3349e-03 1.0591e+34
2.3435e-02 0.0000e+00 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 1.5625e-02 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 3.1250e-02 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 4.6875e-02 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 6.2500e-02 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 7.8125e-02 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 9.3750e-02 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 1.0938e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 1.2500e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 1.4062e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 1.5625e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 1.7188e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 1.8750e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 2.0312e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3305e-03 1.0575e+34
2.3435e-02 2.1875e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 2.3438e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 2.5000e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 2.6562e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 2.8125e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 2.9688e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 3.1250e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 3.2812e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 3.4375e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 3.5938e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 3.7500e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 3.9062e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
2.3435e-02 4.0625e-01 -1.6439e-01 -2.1308e-03 8.1129e-02 7.3304e-03 1.0575e+34
